algo,percent_wins_algo,pimc_num_simulations
pimc_0.00100_1000,66.0,1000
pimc_0.00067_1500,61.0,1500
pimc_0.00050_2000,57.0,2000
pimc_0.00040_2500,69.0,2500
pimc_0.00033_3000,53.0,3000
pimc_0.00029_3500,69.0,3500
pimc_0.00025_4000,62.0,4000
pimc_0.00022_4500,58.0,4500
pimc_0.00020_5000,76.0,5000
pimc_0.00018_5500,66.0,5500
pimc_0.00017_6000,64.0,6000
pimc_0.00015_6500,63.0,6500
pimc_0.00014_7000,65.0,7000
pimc_0.00013_7500,53.0,7500
pimc_0.00013_8000,77.0,8000
pimc_0.00012_8500,57.0,8500
pimc_0.00011_9000,52.0,9000
pimc_0.00011_9500,63.0,9500
pimc_0.00010_10000,59.0,10000